Entity,Code,year,Day,Training_computation_petaflop,Domain
GNMT,,2016,2016-09-26,6900000,Language
GOAT,,2021,2021-07-27,78000000,Games
GPT,,2018,2018-06-01,18000,Language
GPT-2,,2019,2019-02-14,1500000,Language
GPT-3 175B,,2020,2020-04-28,310000000,Language
GPT-J-6B,,2021,2021-05-01,15000000,Language
GPT-Neo,,2021,2021-03-21,7900000,Language
GPT-NeoX-20B,,2022,2022-02-09,93000000,Language
GPU DBNs,,2009,2009-06-15,1,Other
GPipe (Amoeba),,2018,2018-11-16,NA,Vision
GPipe (Transformer),,2018,2018-11-16,NA,Language
GRUs,,2014,2014-06-03,NA,Language
GShard (600B),,2020,2020-06-30,13000000,Language
GShard (dense),,2020,2020-06-30,26000000,Language
Gato,,2022,2022-05-12,5400000,Multimodal
Generative BST,,2021,2021-03-05,NA,Language
GloVe (32B),,2014,2014-01-01,NA,Language
GloVe (6B),,2014,2014-01-01,NA,Language
Go-explore,,2020,2020-04-27,NA,Games
GoogLeNet / InceptionV1,,2015,2015-06-07,1600,Vision
Gopher,,2021,2021-12-08,630000000,Language
GroupLens,,1994,1994-10-22,NA,Recommendation
Grover-Mega,,2019,2019-05-29,NA,Language
HMM Word Alignment,,1996,1996-08-05,NA,Language
HRA,,2017,2017-06-13,NA,Games
Hanabi 4 player,,2019,2019-02-01,92,Games
Hide and Seek,,2019,2019-09-17,300,Games
Hiero,,2005,2005-06-01,NA,Language
Hopfield Networks (2020),,2020,2020-07-16,NA,Other
Hopfield network,,1982,1982-04-01,NA,Other
HuBERT,,2021,2021-07-27,5500000,Language
HyperClova,,2021,2021-05-25,63000000,Language
HyperNEAT,,2014,2014-03-05,NA,Games
IBM Model 4,,1999,1999-07-02,NA,Language
IBM-5,,1993,1993-06-15,NA,Language
IMPALA,,2018,2018-02-05,170000,Games
Image generation,,2013,2013-12-20,0.48,Vision
Imagen,,2022,2022-05-23,NA,Vision
Immediate trihead,,2001,2001-07-06,NA,Language
Inception v3,,2015,2015-12-02,NA,Vision
Inception-ResNet-V2,,2016,2016-02-23,NA,Vision
Inceptionv4,,2016,2016-02-23,NA,Vision
InstructGPT,,2022,2022-01-27,NA,Language
JFT,,2017,2017-08-04,480000,Vision
Japanese dialog transformers,,2021,2021-11-09,NA,Language
Jurassic-1-Jumbo,,2021,2021-08-11,370000000,Language
Jurassic-X,,2022,2022-05-03,NA,Language
KEPLER,,2020,2020-11-23,120000,Language
KN5 LM + RNN 400/10 (WSJ),,2010,2010-09-26,61,Speech
Kohonen network,,1981,1981-07-25,NA,Other
LDA,,2003,2003-02-02,NA,Language
LIRA,,2004,2004-07-30,NA,Vision
LMS,,1960,1960-06-30,NA,Other
LRCN,,2014,2014-11-07,NA,Vision
LSTM,,1997,1997-11-15,0.021,Other
LaMDA,,2022,2022-02-10,360000000,Language
LeNet-5,,1998,1998-11-01,0.0028,Vision
Libratus,,2017,2017-01-01,1100000,Games
M6-100B,,2021,2021-03-01,NA,Multimodal
M6-10B,,2021,2021-03-01,NA,Multimodal
M6-10T,,2021,2021-10-08,5500000,Multimodal
M6-T,,2021,2021-03-05,NA,Multimodal
MADALINE I,,1962,1962-07-01,NA,Other
MADALINE II,,1988,1988-07-24,NA,Other
MADALINE III,,1990,1990-09-01,NA,Other
MCDNN (MNIST),,2012,2012-02-13,3.7,Vision
MEB,,2021,2021-09-04,NA,Search
MENACE,,1963,1963-11-01,NA,Games
MS-CNN,,2016,2016-09-17,NA,Vision
"MSRA (C, PReLU)",,2015,2015-01-09,24000,Vision
MT-DNN,,2019,2019-01-31,NA,Language
MV-RNN,,2012,2012-07-12,NA,Language
Mask R-CNN,,2017,2017-03-30,NA,Vision
Maxout Networks ,,2013,2013-02-18,NA,Vision
